"TailNum","totalDistance"
"N543UA","7675"
"N12238","6829"
"N580JB","6277"
"N5DCAA","5300"
"N637DL","5223"
"N5DJAA","5046"
"N653UA","5005"
"N614UA","4950"
"N615DL","4948"
"N128DL","4584"
"N648AW","4435"
"N601DL","4307"
"N669AW","4299"
"N559UA","4235"
"N555UA","4214"
"N438UA","4144"
"N552AA","4079"
"N76073","3904"
"N78060","3904"
"N423AA","3847"
"N364A1","3784"
"N143AA","3784"
"N902AW","3744"
"N312AA","3710"
"N743","3709"
"N534US","3615"
"N783AS","3577"
"N201AA","3574"
"N339NW","3511"
"N350","3478"
"N607UA","3340"
"N353UA","3328"
"N234AA","3307"
"N587UA","3300"
"N677DL","3296"
"N625DL","3276"
"N555TZ","3226"
"N73275","3204"
"N14341","3202"
"N4YPAA","3185"
"N903AW","3168"
"N810AW","3162"
"N334NB","3141"
"N619AW","3102"
"N848UA","3080"
"N903DA","3079"
"N338UA","3060"
"N560AA","3040"
"N380DA","3012"
"N575UA","3007"
"N764DA","3004"
"N802UA","2968"
"N935UA","2952"
"N6701","2869"
"N3757D","2824"
"N559AA","2820"
"N113UW","2801"
"N17663","2780"
"N221AA","2727"
"N391AA","2724"
"N474AA","2707"
"N536UA","2704"
"N544UA","2704"
"N613AA","2704"
"N567UA","2704"
"N572UA","2704"
"N545UA","2704"
"N584AS","2701"
"N16893","2696"
"N630AA","2689"
"N587NW","2688"
"N965AS","2685"
"N4WPAA","2678"
"N596HA","2677"
"N547AA","2674"
"N453AA","2673"
"N584AA","2644"
"N438AA","2638"
"N14334","2633"
"N301DL","2611"
"N631AA","2594"
"N3ANAA","2588"
"N631DL","2587"
"N354AA","2586"
"N618UA","2586"
"N663DN","2586"
"N650TW","2586"
"N198DN","2586"
"N363AA","2585"
"N14605","2580"
"N421AA","2580"
"N620AW","2574"
"N561JB","2569"
"N622AU","2566"
"N33266","2565"
"N549UA","2565"
"N5ERAA","2556"
"N716DA","2556"
"N411EA","2556"
"N807AW","2551"
"N914AW","2536"
"N124US","2521"
"N103UW","2521"
"N520US","2518"
"N409EA","2513"
"N5EUAA","2504"
"N621JB","2496"
"-N624D","2495"
"N674UA","2486"
"N5EWAA","2486"
"N69348","2484"
"N166AA","2475"
"N604UA","2475"
"N330AA","2475"
"N131AA","2475"
"N651TW","2475"
"N308A1","2475"
"N328AA","2475"
"N603UA","2475"
"N565JB","2465"
"N110UW","2465"
"N636JB","2465"
"N711","2456"
"-N649D","2454"
"N13110","2454"
"N35271","2454"
"N493","2446"
"N558JB","2446"
"N504JB","2446"
"N511UA","2446"
"N528UA","2434"
"N17233","2433"
"N17719","2433"
"N38727","2433"
"N533JB","2430"
"N565AA","2430"
"N350UA","2429"
"N471AA","2429"
"N435","2425"
"N3745B","2421"
"N596UA","2419"
"N647UA","2419"
"N211UA","2419"
"N418UA","2419"
"N794AS","2403"
"N534UA","2402"
"N609AU","2401"
"N478WN","2401"
"N126AA","2398"
"N676UA","2398"
"N1858U","2398"
"N830WA","2393"
"N232AA","2384"
"N901AW","2381"
"N396","2376"
"N542US","2376"
"N305UA","2371"
"N173UW","2369"
"N603AU","2369"
"N673UA","2367"
"N391DA","2346"
"N396AA","2342"
"N167AA","2342"
"N385A1","2342"
"N637A1","2342"
"N62631","2342"
"N156AW","2334"
"N529UA","2329"
"N286AA","2323"
"N293WA","2312"
"N413AA","2303"
"N214AA","2301"
"N679AW","2300"
"N723SW","2298"
"N186US","2296"
"N119US","2296"
"N163UW","2296"
"N480AA","2295"
"N434WN","2295"
"N5CSAA","2288"
"N677UA","2288"
"N5CJAA","2280"
"N424","2277"
"N615JB","2277"
"N338NW","2271"
"N472AA","2268"
"N957DL","2268"
"N979DL","2256"
"N509JB","2253"
"N5DLAA","2250"
"N658AW","2218"
"N5DGAA","2217"
"N655DL","2217"
"N508US","2199"
"N135DL","2182"
"N101DA","2182"
"N982AT","2181"
"N678DL","2172"
"N309UA","2171"
"N15712","2161"
"N388DA","2158"
"N641JB","2153"
"N115DA","2147"
"N535JB","2145"
"N104D1","2139"
"N3754A","2139"
"N699DL","2139"
"N740DA","2139"
"N110DL","2139"
"N312AT","2139"
"N101UW","2136"
"N937UA","2136"
"N652AW","2133"
"N635DL","2125"
"N730UW","2125"
"N233AA","2123"
"N6714Q","2122"
"N604AU","2120"
"N331NW","2118"
"N387UA","2114"
"N464AA","2110"
"N117UW","2101"
"N820AW","2100"
"N988DL","2099"
"N574AA","2087"
"N158US","2079"
"N553NW","2079"
"N585US","2077"
"N527US","2076"
"N609","2076"
"N709UW","2075"
"N455UA","2066"
"N677AA","2062"
"N17328","2056"
"N29129","2053"
"N504US","2047"
"N924DL","2044"
"N444AA","2038"
"N535US","2031"
"N626AW","2028"
"N925TW","2025"
"N520AA","2022"
"N589US","2019"
"N17627","2016"
"N16234","2007"
"N915AW","2001"
"N792","1999"
"N266AU","1998"
"N787NC","1994"
"N697","1988"
"N516AA","1983"
"N161US","1979"
"N700","1977"
"N383DN","1975"
"N816AW","1972"
"N514US","1965"
"N332NB","1957"
"N349NW","1953"
"N12172","1953"
"N762AS","1947"
"N1611B","1946"
"N318TZ","1944"
"N612AU","1942"
"N286AU","1934"
"N973DL","1932"
"-N916D","1932"
"N126DL","1929"
"N634DL","1929"
"N540US","1927"
"N451AA","1925"
"N922UW","1916"
"N628AU","1916"
"N739","1912"
"N527AU","1910"
"N831AW","1910"
"N625AU","1910"
"N9412W","1904"
"N661DN","1900"
"N344AT","1891"
"N499","1891"
"N819AE","1884"
"N36272","1874"
"N13949","1864"
"N11641","1862"
"N172DZ","1859"
"N727SW","1855"
"N520AT","1855"
"N306AS","1853"
"N477AA","1852"
"N390DA","1851"
"N654AW","1848"
"N705SW","1848"
"N433UA","1846"
"N4XVAA","1846"
"N550UA","1846"
"N3AEAA","1846"
"N471UA","1846"
"N4XJAA","1846"
"N660UA","1846"
"N117UA","1846"
"N573AA","1845"
"N735SA","1838"
"N943DL","1831"
"N828UA","1829"
"N464UA","1829"
"N26226","1825"
"N73406","1825"
"N73256","1825"
"N768AS","1822"
"N756SK","1815"
"N529AU","1814"
"N487AA","1813"
"N14639","1810"
"N459AA","1808"
"N348NB","1807"
"N385","1794"
"N755AS","1786"
"N635","1786"
"N315UA","1781"
"N178UW","1774"
"N769UW","1774"
"N788","1772"
"N466AA","1770"
"N972DL","1765"
"N921RW","1761"
"N675","1760"
"N591US","1760"
"N804US","1757"
"N984DL","1755"
"N215AA","1753"
"N337NW","1750"
"N412WN","1750"
"N639AW","1750"
"N712TW","1747"
"N654DL","1747"
"N18622","1746"
"N523UA","1745"
"N402UA","1745"
"N160AA","1745"
"N1815U","1745"
"N597A1","1745"
"N622DL","1745"
"N411UA","1745"
"N505UA","1745"
"N563UA","1739"
"N519AT","1733"
"N502AA","1731"
"N576US","1730"
"N899AA","1727"
"N5DBAA","1726"
"N533UA","1723"
"N4XKAA","1723"
"N317UA","1723"
"N202AA","1723"
"N7258U","1722"
"N4XNAA","1721"
"N4WRAA","1721"
"N714P","1710"
"N927TW","1710"
"N96301","1708"
"N14991","1706"
"N502","1701"
"N558AA","1696"
"N14320","1694"
"N309AW","1692"
"N737UW","1680"
"-N670D","1678"
"N817AW","1671"
"N400","1670"
"N934AT","1664"
"N762NC","1662"
"N621AA","1660"
"N287A1","1660"
"N589AA","1660"
"N567AA","1660"
"N523US","1659"
"N2BKAA","1648"
"N514UA","1646"
"N388SW","1640"
"N350NB","1639"
"N57837","1635"
"N16806","1635"
"N14831","1628"
"N712","1624"
"N259AA","1618"
"N648SW","1612"
"N202US","1611"
"N37267","1608"
"N894AA","1608"
"N35407","1608"
"N702AA","1608"
"N5CBAA","1608"
"N808UA","1605"
"N927UW","1605"
"N515UA","1605"
"N16607","1605"
"N7277U","1605"
"N449AA","1604"
"N9346","1598"
"N409UA","1597"
"N336AA","1597"
"N064AA","1597"
"N721TW","1593"
"N336NB","1591"
"N908EV","1591"
"N619DL","1589"
"N784DA","1589"
"N381DA","1589"
"N626DL","1589"
"N618DL","1589"
"N764","1588"
"N680DA","1587"
"N609DL","1587"
"N915DE","1587"
"N913DE","1582"
"N772AS","1580"
"N545AA","1579"
"N9413T","1574"
"N665WN","1574"
"N912TW","1570"
"N901DL","1569"
"N450AA","1568"
"N781AU","1565"
"N964N","1563"
"N108UW","1557"
"N592UA","1557"
"N12327","1557"
"N223AA","1556"
"N605SW","1551"
"N657DL","1547"
"N662DN","1547"
"N9302B","1547"
"N671DN","1547"
"N940FR","1545"
"N7295U","1545"
"N395","1538"
"N9332","1537"
"N584NW","1536"
"N532US","1536"
"N513US","1536"
"N342NW","1536"
"N506US","1536"
"N492AA","1535"
"N655AW","1532"
"N516US","1532"
"N309NB","1522"
"N375NC","1522"
"N352NW","1522"
"N927WN","1521"
"N254WN","1521"
"N303US","1518"
"N311RC","1518"
"N493UA","1515"
"N503UA","1515"
"N390UA","1514"
"N948DL","1509"
"N942UA","1509"
"N3CPAA","1501"
"N322US","1501"
"N113DA","1501"
"N932UA","1498"
"N783","1497"
"N326NB","1494"
"N532UA","1491"
"N952UA","1491"
"N910FR","1491"
"N7454U","1491"
"N39340","1489"
"N577US","1486"
"N680","1486"
"N371NB","1481"
"N849AE","1479"
"N418DA","1479"
"N840AS","1477"
"N808AE","1476"
"N13958","1475"
"N84355","1475"
"N20","1474"
"N971VJ","1471"
"N3DLAA","1471"
"N266A1","1471"
"N507","1465"
"N534AA","1464"
"N240AU","1464"
"N518AU","1460"
"N773AS","1459"
"N255AA","1456"
"N548AA","1456"
"N902DE","1455"
"N889AS","1454"
"N671UA","1452"
"N796AS","1449"
"N556AS","1449"
"N392DA","1449"
"N309AS","1449"
"N415WN","1444"
"N292AA","1443"
"N7280U","1440"
"N494UA","1440"
"N662AW","1440"
"N1817U","1440"
"N626AA","1440"
"N901EV","1439"
"N617AA","1438"
"N518AA","1437"
"N7444U","1437"
"N4XEAA","1431"
"N312US","1426"
"N486AA","1422"
"N546DA","1421"
"N316NB","1419"
"N334NW","1416"
"N73385","1416"
"N615","1405"
"N19130","1400"
"N70755","1400"
"N75854","1400"
"N72829","1400"
"N78004","1400"
"N512US","1399"
"N156US","1399"
"N775AS","1399"
"N956AT","1394"
"N688SW","1393"
"N14347","1391"
"N458AA","1391"
"N355US","1391"
"N482","1390"
"N469AA","1389"
"N419AA","1389"
"N541A1","1389"
"N517AA","1389"
"N643AA","1389"
"N412AA","1389"
"N924L","1384"
"N741SA","1382"
"N342","1382"
"N570JB","1381"
"N18119","1379"
"N35260","1379"
"N14704","1379"
"N655CA","1374"
"N3CTAA","1374"
"N246AA","1372"
"N16642","1372"
"N4XWAA","1372"
"N610AA","1372"
"N597AA","1372"
"N19638","1372"
"N16618","1372"
"N5TNAA","1372"
"N521AE","1371"
"N996DL","1367"
"N12924","1366"
"N753","1363"
"N699SW","1363"
"N382SW","1363"
"N730EV","1360"
"N820US","1355"
"N122DL","1349"
"N15710","1347"
"N33608","1347"
"N23721","1347"
"N8923E","1347"
"N331","1345"
"N81","1344"
"N934SW","1343"
"N823AE","1343"
"N818UA","1339"
"N958AT","1336"
"N18223","1334"
"N14629","1334"
"N17321","1334"
"N2CCAA","1331"
"N521JB","1329"
"N821UA","1322"
"N327UA","1316"
"N426SW","1315"
"N742AS","1312"
"N204US","1310"
"N991DL","1304"
"N729AA","1302"
"N298AA","1302"
"N802MD","1302"
"N314RC","1298"
"N908UA","1296"
"N541AA","1293"
"N302DL","1290"
"N921DL","1289"
"N912UA","1283"
"N14840","1282"
"N922DL","1282"
"N630AU","1281"
"N949UA","1277"
"N594NW","1276"
"N509DC","1276"
"N333UA","1274"
"N501MQ","1272"
"N4TFAA","1262"
"N806US","1262"
"N316AW","1262"
"N931DL","1262"
"N491AA","1258"
"N5EVAA","1258"
"N975DL","1255"
"N311","1250"
"-N915D","1249"
"N816SK","1249"
"N523SW","1249"
"N810SK","1249"
"N444WN","1246"
"N711PH","1246"
"N478AA","1242"
"N917DE","1242"
"N12122","1241"
"N537AA","1241"
"N306DL","1237"
"N536AA","1237"
"N546A1","1237"
"N603JB","1237"
"N519AA","1235"
"N4YMAA","1235"
"N387DA","1235"
"N551AA","1235"
"N407AA","1235"
"N14667","1235"
"N5EKAA","1235"
"N29124","1235"
"N369UA","1232"
"N387","1230"
"N75993","1226"
"N380DL","1224"
"N929UA","1223"
"N15781","1222"
"N16815","1222"
"N314","1221"
"N470AA","1220"
"N303AW","1219"
"N575AA","1217"
"N941SW","1217"
"N950AS","1216"
"N623AS","1215"
"N288A1","1213"
"N532AU","1213"
"N751SK","1210"
"N944DL","1210"
"N16807","1209"
"N413US","1209"
"N24736","1208"
"N427US","1206"
"N5CFAA","1205"
"N905DA","1205"
"N640AA","1205"
"N443US","1205"
"N275AA","1205"
"N5CXAA","1205"
"N285WN","1204"
"N264AU","1204"
"N964DL","1203"
"N809UA","1201"
"N668DN","1199"
"N759DA","1199"
"N776AU","1198"
"N17337","1198"
"N373AA","1197"
"N3ABAA","1197"
"N540AA","1197"
"N641UA","1197"
"N870AA","1197"
"N12569","1197"
"N5CHAA","1197"
"N242US","1197"
"N3CEA1","1197"
"N302WA","1195"
"N724EV","1195"
"N807CA","1194"
"N859AA","1192"
"N519DA","1191"
"N082AA","1189"
"N076AA","1189"
"N274AA","1189"
"N4TXAA","1189"
"N546JB","1185"
"N328DL","1185"
"N6700","1185"
"N952U","1182"
"N501A1","1182"
"N251AA","1182"
"N561AA","1182"
"N207AA","1181"
"N366NW","1181"
"N757LV","1175"
"N327NW","1175"
"N942FR","1174"
"-N804M","1173"
"N7251U","1172"
"N508AA","1172"
"N716A1","1172"
"N915UA","1172"
"N452AA","1172"
"N5EDAA","1171"
"N485A1","1171"
"N242WA","1167"
"N403WN","1166"
"N329DL","1165"
"N14516","1165"
"N124DE","1157"
"N616","1156"
"N917UA","1155"
"N819US","1155"
"N784AU","1154"
"N979SW","1152"
"N959DL","1146"
"N4XUAA","1144"
"N698","1142"
"N328NW","1142"
"N308US","1139"
"N886AA","1139"
"N210","1136"
"N678","1136"
"N985US","1135"
"N604","1132"
"N203US","1127"
"N380","1126"
"N290US","1123"
"N318US","1123"
"N915DL","1122"
"-N307D","1121"
"N651DL","1121"
"N718AA","1121"
"N1AUAA","1121"
"-N312D","1121"
"N304DL","1121"
"N923DL","1121"
"N237WA","1121"
"N104UW","1120"
"N957N","1120"
"N16918","1119"
"N404AA","1119"
"N327DL","1119"
"N967N","1118"
"N566A1","1118"
"N33637","1117"
"N302","1115"
"N675MC","1115"
"N958U","1113"
"N878AS","1111"
"N507AU","1109"
"N585AS","1107"
"N446AA","1107"
"N675AW","1107"
"N977AS","1107"
"N947AS","1107"
"N484WN","1101"
"N432","1099"
"N786NC","1098"
"N504UA","1097"
"N408UA","1097"
"N533AA","1095"
"N312DL","1093"
"N8978E","1093"
"N637AE","1092"
"N18350","1091"
"N523DA","1090"
"N9402W","1090"
"N059AA","1090"
"N525AU","1089"
"N962DL","1087"
"-N979D","1086"
"N83873","1086"
"N329NW","1085"
"N672AE","1085"
"N522US","1085"
"N965CA","1084"
"N14173","1081"
"N994Z","1081"
"N846AE","1080"
"N990DL","1080"
"N34110","1080"
"N481AA","1076"
"N5DUAA","1076"
"N611NA","1076"
"N5DXAA","1076"
"N5TJAA","1076"
"N402DA","1076"
"N534JB","1074"
"N252AU","1073"
"N497WN","1073"
"N522DA","1070"
"N919DE","1069"
"N544JB","1069"
"N966DL","1069"
"N941DL","1068"
"N24343","1068"
"N205AA","1068"
"N501BG","1068"
"N802US","1068"
"N538AA","1068"
"N32404","1065"
"N919AT","1065"
"N13881","1065"
"N14118","1065"
"N95","1065"
"N503JB","1065"
"N321DL","1065"
"N940UA","1064"
"N581AA","1062"
"N17326","1062"
"N570AA","1062"
"N278AA","1062"
"N469UA","1062"
"-N9627","1056"
"N950U","1056"
"N922AT","1055"
"N105","1054"
"N339US","1052"
"N777NC","1051"
"N447SW","1051"
"N647","1050"
"N483","1050"
"N8878Z","1050"
"N958AS","1050"
"N617AS","1050"
"N4YSAA","1046"
"N063A1","1045"
"N5BSAA","1045"
"N388","1044"
"N13123","1043"
"N610NW","1041"
"N37228","1041"
"N450A1","1041"
"N858US","1040"
"N628","1039"
"N925VJ","1038"
"N438","1037"
"N69351","1036"
"N123DN","1035"
"N899AT","1035"
"N936DL","1035"
"N636DL","1035"
"N989DL","1035"
"N77204","1034"
"N21154","1034"
"N797","1034"
"N947DL","1033"
"N689","1031"
"N579JB","1028"
"N67171","1028"
"N335NW","1028"
"-N912D","1027"
"N650MQ","1026"
"N58545","1025"
"N937MC","1024"
"N348UA","1024"
"N14231","1024"
"N780","1023"
"N504AE","1021"
"87949E","1021"
"N938CA","1021"
"N505","1020"
"N317US","1020"
"N669","1019"
"N526","1015"
"N885AA","1013"
"N732SK","1013"
"N6713Y","1011"
"N7279U","1010"
"N832AW","1009"
"N651AW","1009"
"N624AS","1009"
"N637AW","1009"
"N14816","1009"
"N73270","1009"
"N331AW","1009"
"N357NW","1008"
"N926RC","1008"
"N350NW","1008"
"N434UA","1007"
"N665UA","1005"
"N5CAAA","1005"
"N905DE","1005"
"N624AA","1005"
"N3771K","1005"
"80399E","1005"
"N464SW","1004"
"N310","1003"
"N2AFAA","1001"
"N324","1000"
"N2AJA1","999"
"N664MS","999"
"N857US","998"
"N527DA","996"
"N490UA","994"
"N627AU","992"
"N399UA","992"
"N442US","992"
"N319NB","991"
"N411WN","989"
"N139DL","988"
"N308WA","988"
"N901DA","988"
"N312","987"
"N514AA","987"
"N15820","987"
"N43537","986"
"N14337","986"
"N76354","986"
"N2822W","985"
"N525AA","984"
"-N123D","984"
"N5FCAA","984"
"N19623","984"
"N3CRAA","984"
"N767NC","983"
"N349NB","981"
"N54345","979"
"N435AA","978"
"N949DL","978"
"N609AS","978"
"N307DL","972"
"N412SW","972"
"N920DE","972"
"N528JB","972"
"N649PP","971"
"N623","967"
"N920FR","967"
"N196UA","967"
"N526UA","967"
"N551UA","967"
"N535UA","967"
"N187UW","966"
"N72405","965"
"N69803","965"
"N990AT","965"
"N3DCAA","964"
"N14890","964"
"N871AA","964"
"N512AA","964"
"N321US","963"
"N926DL","961"
"N430SW","960"
"N381DL","958"
"N984TW","957"
"N335UA","957"
"N995Z","957"
"N784AS","957"
"N529US","957"
"N967DL","956"
"N14889","956"
"N343UA","954"
"N785AS","954"
"N969AS","954"
"N924FJ","952"
"N171UW","951"
"N628DL","950"
"-N130D","950"
"-N629D","950"
"N938UA","948"
"N321NB","946"
"N686D1","946"
"N841MH","946"
"N559AU","946"
"N3BMAA","946"
"N967AT","946"
"N585JB","944"
"N645DL","944"
"N907DE","944"
"N988UA","942"
"N13133","940"
"N659AW","940"
"N665","940"
"N18220","938"
"N73751","938"
"N974AS","937"
"N569AS","937"
"N656SW","937"
"N17146","936"
"N595AA","936"
"N835AE","936"
"N637SW","935"
"N332","934"
"N9406W","934"
"N712DA","932"
"N952N","931"
"N315NB","931"
"N319US","931"
"N605NW","931"
"N8911E","930"
"N308AW","930"
"N620NW","930"
"N576AA","929"
"N902DL","929"
"N224AA","929"
"N14125","929"
"N675AA","928"
"N628MQ","927"
"N378","927"
"N431CA","926"
"N763NW","926"
"N244US","925"
"N14653","925"
"N662","925"
"N16650","925"
"N73276","925"
"N4WMAA","925"
"N398SW","925"
"N111DN","921"
"N490AA","920"
"N334","920"
"N590AA","920"
"N405US","920"
"N667DN","919"
"N2AHAA","919"
"N2BUAA","919"
"N812AW","919"
"N529DA","919"
"N937F","916"
"N902UA","915"
"N713AS","914"
"N7282U","911"
"N325NB","908"
"N37700","906"
"N351NW","906"
"N641CA","906"
"N721HS","904"
"N914DE","903"
"-N677D","903"
"N904DE","903"
"N679DA","903"
"N903UA","900"
"N808MQ","900"
"N102","899"
"N794","899"
"N9340","897"
"N6716C","896"
"N918FR","895"
"N472UA","895"
"N429WN","895"
"N33805","895"
"N375UA","894"
"N706TW","892"
"N733UW","892"
"N416EA","892"
"N398CA","892"
"N305SW","888"
"N295AA","888"
"N1849U","888"
"N779UA","888"
"N1834U","888"
"N530AA","888"
"N463AA","888"
"N9303K","887"
"N3322L","887"
"N4WBAA","887"
"N327","883"
"N461WN","880"
"N624","877"
"N821AW","877"
"N227SW","876"
"N336NW","874"
"87589E","874"
"N709EV","874"
"N351NB","872"
"N333NW","872"
"N292US","872"
"N11113","872"
"N682SW","872"
"N408EA","872"
"N809AW","872"
"N27610","872"
"N14977","871"
"N365UA","870"
"N186AW","870"
"N5TRAA","869"
"N4WUAA","868"
"N328AW","868"
"N3AFAA","867"
"N3CMA1","867"
"N466UA","867"
"N693","867"
"N442UA","867"
"N2ADAA","867"
"N11176","866"
"N157AW","866"
"N320AS","866"
"N755UW","865"
"N2AVAA","865"
"N968DL","865"
"N746SK","863"
"N1841U","862"
"N1838U","862"
"N438US","861"
"N205UW","861"
"N331AT","861"
"N336UA","861"
"N69826","861"
"N71411","861"
"N2DAAA","861"
"N364","860"
"N359","859"
"N782AS","859"
"N845UA","853"
"N933FR","853"
"N330UA","853"
"N14107","853"
"N17104","853"
"N19136","853"
"N827AE","853"
"N954SW","853"
"N366UA","853"
"N9335","852"
"N354CA","852"
"N520D1","852"
"N730","852"
"N376CA","852"
"N13538","851"
"N476AA","849"
"N554UA","849"
"N690SW","848"
"N512UA","846"
"N16310","845"
"N926LR","843"
"N7284U","843"
"N417","842"
"N750","842"
"N292WA","841"
"N231US","839"
"N16541","838"
"N168AW","838"
"N257WN","838"
"N838AS","835"
"N969CA","829"
"N978CA","829"
"N687SW","828"
"N9339","828"
"N553TZ","828"
"N695AE","821"
"N13118","821"
"N27724","821"
"N755EV","821"
"N391UA","819"
"N7261U","819"
"N735CA","818"
"N610SW","818"
"N223US","818"
"N14655","817"
"87719E","817"
"N962AS","817"
"N378UA","817"
"89149E","817"
"N11189","816"
"N512","816"
"N447US","816"
"N430CA","815"
"N611N1","814"
"N8960E","814"
"N513DA","813"
"N309US","813"
"N339","813"
"N914TW","813"
"N613AE","812"
"N820AS","812"
"N14342","811"
"N245US","810"
"N470UA","810"
"-N939D","810"
"N913UA","810"
"N236US","809"
"N17159","809"
"N429SW","808"
"N943AT","808"
"N80","806"
"N104","806"
"N403DA","804"
"N423","803"
"N856AS","803"
"N336","803"
"N568AA","802"
"N468AA","802"
"N238WA","802"
"N181AW","802"
"N986US","798"
"N992DL","793"
"N746AS","792"
"N917EV","790"
"N378NW","790"
"N485WN","787"
"N4TKTW","786"
"N245AA","786"
"N938AT","784"
"N919EV","784"
"N405AA","783"
"N241AA","783"
"N822AA","783"
"N936UA","783"
"N932EV","781"
"N59630","781"
"N16546","781"
"N850US","781"
"N15986","781"
"N904EV","780"
"N372","779"
"N8957E","777"
"N732","777"
"N326UA","776"
"N701","776"
"N338","774"
"N852US","773"
"N103DA","773"
"N2CFAA","772"
"N930AS","770"
"N473A1","764"
"N574US","764"
"N482UA","763"
"N905UA","763"
"N812UA","763"
"N722RW","762"
"N737","762"
"N350NA","762"
"N288US","762"
"N330DL","761"
"N920DL","761"
"N610DL","761"
"N929DL","761"
"N576UA","758"
"N803BR","758"
"N339UA","757"
"N377DL","756"
"N382DL","756"
"N694SW","756"
"N8929E","756"
"N916RW","755"
"N11536","754"
"N903SW","754"
"N969VJ","754"
"N894AT","752"
"N952SW","751"
"N939SW","751"
"N659DL","750"
"N518DA","749"
"N604AT","749"
"N618NW","748"
"N12957","748"
"N15555","748"
"N14179","748"
"N10242","748"
"N611DL","745"
"N613DL","745"
"N375D1","745"
"N172AW","742"
"N365","742"
"N645AW","739"
"N857MJ","739"
"N71","735"
"N484UA","733"
"N424UA","733"
"N4XYAA","733"
